TARGET_FID_12,GEOID_D,FIPS,POC Population (Prop),Median Household Income,Ttl_Und,Unemployed Population (Prop),Stop Frequency (SEP 20),FreqAug19,FreqPandemic
314,14000US08013012505,8013012505,0.120807,108750,1155,0.33791691,1608,4170,3695
315,14000US08013012507,8013012507,0.114343254,62163,1816,0.446630595,3150,9134,7543
316,14000US08031004602,8031004602,0.280999724,44555,635,0.115433558,1466,3760,3360
317,14000US08031004603,8031004603,0.207445008,56176,851,0.192490387,2156,5399,4868
318,14000US08031004700,8031004700,0.131968758,62482,1208,0.218129289,2154,4942,4699
319,14000US08039961206,8039961206,0.038420774,100677,691,0.222544283,0,0,0
320,14000US08047013800,8047013800,0.06043214,75120,1038,0.204935834,0,0,0
321,14000US08001008535,8001008535,0.114495513,83088,565,0.218230977,561,1008,971
322,14000US08001008540,8001008540,0.146535639,109549,1273,0.220700416,0,0,0
323,14000US08001008541,8001008541,0.061259707,128295,795,0.164324101,0,0,0
324,14000US08001008551,8001008551,0.183344093,134167,267,0.243613139,72,68,68
325,14000US08001060000,8001060000,0.084062728,116754,902,0.226348808,0,0,0
326,14000US08001007801,8001007801,0.601885424,32744,839,0.289110958,1091,2366,2222
327,14000US08001008539,8001008539,0.182099344,91351,1602,0.23380035,504,1080,1056
328,14000US08001009326,8001009326,0.159500184,77969,540,0.234578627,157,501,399
329,14000US08123001902,8123001902,0.095459837,70865,1643,0.28042328,0,0,0
331,14000US08014030700,8014030700,0.082344968,93203,543,0.230182281,0,0,0
332,14000US08014030400,8014030400,0.056756053,135563,776,0.260402685,0,0,0
333,14000US08031003202,8031003202,0.088855422,58125,721,0.225806452,695,1777,1584
334,14000US08031003203,8031003203,0.048747461,177813,735,0.303342963,1084,3307,2611
335,14000US08031003300,8031003300,0.120720189,135875,781,0.267465753,904,1956,1860
336,14000US08031003401,8031003401,0.060100814,98144,667,0.285653105,666,1640,1363
337,14000US08014030100,8014030100,0.137254902,64318,380,0.202883075,18,328,156
338,14000US08014030000,8014030000,0.122204473,65959,809,0.285160381,0,332,185
339,14000US08014030300,8014030300,0.109739737,62897,812,0.259756878,180,1288,764
341,14000US08005007702,8005007702,0.457591378,57202,749,0.229473039,1631,3726,3286
