TARGET_FID_12,GEOID_D,FIPS,Proportion of POC,Median Household Income,Proportion Unemployed,Total Population,Proportion Male,Proportion Female,Proportion Did Not Work,Proportion of Renters,Average Household Size,FREQSEP20D,FREQAUG19D,FREQPAND_1,PCT_Change_SEP,PCT_Change_AUG
125,14000US08005005700,8005005700,0.119084362,48465,0.304575925,3888,0.543981481,0.456018519,0.18944914,0.7233809,2.13,40,45,39,2.56,15.38
126,14000US08005005800,8005005800,0.085662432,81708,0.259751393,2755,0.458802178,0.541197822,0.258894128,0.199183673,2.25,5,5,5,0,0
127,14000US08005005951,8005005951,0.128593041,36640,0.184171229,4627,0.432029393,0.567970607,0.3753111,0.713836478,1.7,21,22,18,16.67,22.22
128,14000US08005005952,8005005952,0.109994417,58869,0.254822335,3582,0.486878839,0.513121161,0.299492386,0.631391201,2.11,1,2,2,-50,0
129,14000US08005006000,8005006000,0.10955799,51201,0.247288503,2647,0.539856441,0.460143559,0.276355748,0.42437276,1.89,13,15,14,-7.14,7.14
130,14000US08005084900,8005084900,0.196519652,145938,0.235578712,3333,0.483048305,0.516951695,0.211760328,0.041587902,3.15,4,5,5,-20,0
131,14000US08014030900,8014030900,0.137889482,108385,0.225097025,5809,0.524875194,0.475124806,0.277705908,0.130849614,2.64,0,1,0,0,0
132,14000US08123002009,8123002009,0.026086957,97188,0.211034483,1725,0.474782609,0.525217391,0.310344828,0.070121951,2.62,0,0,0,0,0
133,14000US08005006712,8005006712,0.102158273,182031,0.218560278,1390,0.517266187,0.482733813,0.402428448,0.122625216,2.4,17,26,20,-15,30
134,14000US08005006858,8005006858,0.245716589,74571,0.200810875,4961,0.501914937,0.498085063,0.269258288,0.816779533,1.83,9,6,7,28.57,-14.29
135,14000US08031005104,8031005104,0.340076545,44926,0.247727273,3658,0.482504101,0.517495899,0.307467532,0.821534801,2.01,7,7,7,0,0
136,14000US08031003500,8031003500,0.264865681,54602,0.236651947,6626,0.531693329,0.468306671,0.309714974,0.539656129,3.66,55,55,49,12.24,12.24
137,14000US08031002701,8031002701,0.158085106,41957,0.251564186,4700,0.569787234,0.430212766,0.147357066,0.870653686,1.29,27,32,28,-3.57,14.29
138,14000US08031005200,8031005200,0.164500968,107875,0.208224543,3617,0.512303014,0.487696986,0.256201044,0.176300578,2.61,9,10,9,0,11.11
139,14000US08031006814,8031006814,0.405788656,55284,0.273784355,5148,0.518648019,0.481351981,0.175739958,0.477261614,2.52,9,12,9,0,33.33
140,14000US08031001500,8031001500,0.188571429,50185,0.28591431,4550,0.585494505,0.414505495,0.337440493,0.590371622,3.13,19,29,27,-29.63,7.41
141,14000US08031002100,8031002100,0.169817027,72064,0.209432314,6613,0.499319522,0.500680478,0.19441048,0.562885928,2.13,78,92,80,-2.5,15
142,14000US08031002403,8031002403,0.337680816,46758,0.256561328,4217,0.522883567,0.477116433,0.269416176,0.701259227,1.76,39,43,38,2.63,13.16
143,14000US08031002601,8031002601,0.151506538,50858,0.222286043,3518,0.552586697,0.447413303,0.243825388,0.913465427,1.39,31,43,33,-6.06,30.3
144,14000US08031002602,8031002602,0.120689655,80286,0.177523264,2842,0.512667136,0.487332864,0.141732283,0.741547278,1.57,5,9,5,0,80
145,14000US08031002702,8031002702,0.123903684,61611,0.247981546,6271,0.524637219,0.475362781,0.110232328,0.713024809,1.47,11,13,11,0,18.18
146,14000US08005006100,8005006100,0.15138191,50802,0.263195691,3184,0.498429648,0.501570352,0.245960503,0.57571965,1.95,3,4,4,-25,0
147,14000US08031002801,8031002801,0.095133553,66096,0.207307387,2733,0.413830955,0.586169045,0.160444797,0.606280193,1.65,5,5,5,0,0
148,14000US08031002802,8031002802,0.099272471,56576,0.246301583,4261,0.512555738,0.487444262,0.161951726,0.691017518,1.58,10,17,13,-23.08,30.77
149,14000US08031002803,8031002803,0.12179623,60560,0.261353517,4721,0.530607922,0.469392078,0.140694568,0.762629534,1.52,4,5,4,0,25
150,14000US08005005623,8005005623,0.035262206,110417,0.257859821,4424,0.486437613,0.513562387,0.286414768,0.19364332,2.6,5,10,7,-28.57,42.86
151,14000US08005087200,8005087200,0.374205695,53495,0.263949118,4249,0.45587197,0.54412803,0.209309049,0.751646284,1.99,12,14,12,0,16.67
152,14000US08005006200,8005006200,0.117194436,66034,0.210093057,3379,0.486830423,0.513169577,0.274874732,0.376126126,2.54,5,5,5,0,0
153,14000US08005006300,8005006300,0.042823156,69280,0.239072257,2522,0.534496431,0.465503569,0.217662801,0.127081507,2.21,3,4,4,-25,0
154,14000US08005006400,8005006400,0.188813258,61042,0.303690685,3379,0.527079017,0.472920983,0.225659051,0.431279621,2.57,2,2,2,0,0
155,14000US08005006601,8005006601,0.197212912,42298,0.189805929,5669,0.503792556,0.496207444,0.238430369,0.739386792,2.16,6,8,6,0,33.33
156,14000US08005082100,8005082100,0.534782609,63750,0.294003115,7130,0.440813464,0.559186536,0.230334891,0.572469983,3.06,13,15,13,0,15.38
