TARGET_FID_12,GEOID_D,FIPS,Proportion of POC,Median Household Income,Proportion Unemployed,Proportion Did Not Work,Proportion of Renters,Average Household Size,FREQSEP20D,FREQAUG19D,FREQPAND_1,Percent Change Sep20,Percent Change Aug19,Percent Change Pan
366,14000US08013013602,8013013602,0.02182285,87955,0.285714286,0.344877345,0.166666667,1.97,0,0,0,0,0,0.00
373,14000US08123002008,8123002008,0.097476225,120156,0.225146946,0.240224891,0.163627153,2.75,0,0,0,0,0,0.00
374,14000US08123002016,8123002016,0.123380629,67422,0.18595679,0.283950617,0.21334504,2.85,0,0,0,0,0,0.00
375,14000US08123002020,8123002020,0.093788492,110607,0.229946524,0.18105424,0.077473182,3.39,0,0,0,0,0,0.00
376,14000US08123002021,8123002021,0.097101449,90000,0.197802198,0.399267399,0.093023256,2.67,0,0,0,0,0,0.00
377,14000US08123001905,8123001905,0.116384647,63504,0.250215208,0.269727403,0.258042437,3.32,0,0,0,0,0,0.00
378,14000US08123002011,8123002011,0.101449275,113661,0.172991071,0.237723214,0.042959427,3.29,0,0,0,0,0,0.00
379,14000US08123002015,8123002015,0.12900641,96250,0.200442968,0.160575858,0.107317073,3.04,0,0,0,0,0,0.00
380,14000US08123002017,8123002017,0,145938,0.202839757,0.269776876,0.036866359,2.88,0,0,0,0,0,0.00
381,14000US08123001908,8123001908,0.147284123,59643,0.197113216,0.314388814,0.335892514,2.75,0,0,0,0,0,0.00
382,14000US08123002012,8123002012,0.180480248,120083,0.235839341,0.192584964,0.014634146,3.15,0,0,0,0,0,0.00
384,14000US08001008534,8001008534,0.089363385,95572,0.295647413,0.167259786,0.085735403,3.74,1,2,2,-50,0,0.00
385,14000US08001008603,8001008603,0.090045023,37688,0.202720207,0.375,0.632467532,2.6,0,0,0,0,0,0.00
386,14000US08001008604,8001008604,0.147435897,66719,0.285306391,0.33077092,0.302447552,3.35,1,1,1,0,0,0.00
387,14000US08001008605,8001008605,0.052694325,66474,0.193768546,0.341543027,0.442520776,2.9,1,1,1,0,0,0.00
388,14000US08001008606,8001008606,0.193988224,53246,0.237637638,0.323123123,0.588785047,2.62,6,3,3,100,0,0.00
392,14000US08001008537,8001008537,0.13957907,90398,0.203154181,0.260012451,0.116959064,3.64,2,1,1,100,0,0.00
397,14000US08001008401,8001008401,0.114012739,70871,0.223573939,0.307380373,0.223436551,2.86,0,0,0,0,0,0.00
400,14000US08001009103,8001009103,0.081068416,49044,0.222840314,0.345549738,0.200537153,3.82,1,2,2,-50,0,0.00
407,14000US08001009002,8001009002,0.224821376,54667,0.268460914,0.210305653,0.409426987,3.15,7,5,5,40,0,0.00
408,14000US08001009101,8001009101,0.090432228,64479,0.263532764,0.268376068,0.156764495,3.41,4,4,4,0,0,0.00
410,14000US08001009202,8001009202,0.114278982,59250,0.226161369,0.297677262,0.325448029,3.04,8,12,12,-33.33,0,0.00
412,14000US08001009204,8001009204,0.302208034,71204,0.221374046,0.210964608,0.428951368,2.86,2,3,3,-33.33,0,0.00
415,14000US08093000200,8093000200,0.093218186,73933,0.219309068,0.310302283,0.202434337,2.51,0,0,0,0,0,0.00
418,14000US08093000100,8093000100,0.055965362,70270,0.208191126,0.336746303,0.121153097,2.43,0,0,0,0,0,0.00
423,14000US08035014005,8035014005,0.082877248,97625,0.212426532,0.246851385,0.219553073,2.86,0,1,0,0,0,-100.00
424,14000US08059011728,8059011728,0.17344456,83981,0.202114165,0.353488372,0.105403012,2.55,1,2,2,-50,0,0.00
426,14000US08059011730,8059011730,0.179644049,53260,0.265353805,0.201935915,0.502752294,2.2,0,1,0,0,0,-100.00
428,14000US08123002502,8123002502,0.076653526,72463,0.178931356,0.337326488,0.246265472,2.91,0,0,0,0,0,0.00
429,14000US08123001800,8123001800,0.064981949,64023,0.22985244,0.305902384,0.225625,2.77,0,0,0,0,0,0.00
445,14000US08059012023,8059012023,0.138809388,89650,0.257720588,0.263602941,0.096824167,2.71,0,1,0,0,0,-100.00
446,14000US08059012024,8059012024,0.06679353,111944,0.24661913,0.25670027,0.14476386,2.7,0,1,0,0,0,-100.00
454,14000US08059012038,8059012038,0.095861148,88194,0.254934761,0.209100033,0.093610698,2.78,0,0,0,0,0,0.00
455,14000US08059012039,8059012039,0.06577961,91596,0.27666818,0.171811167,0.176139273,2.73,0,0,0,0,0,0.00
456,14000US08059012041,8059012041,0.136512308,89094,0.28895966,0.251592357,0.104400749,2.71,0,1,1,-100,0,0.00
457,14000US08059012043,8059012043,0.082344731,106577,0.260143198,0.212410501,0.111992534,2.67,0,0,0,0,0,0.00
462,14000US08059012046,8059012046,0.129223744,78708,0.268111808,0.261836851,0.076830732,2.63,1,1,1,0,0,0.00
463,14000US08059012047,8059012047,0.066907776,75946,0.302188552,0.182379349,0.259779951,2.7,0,0,0,0,0,0.00
464,14000US08059012048,8059012048,0.043263288,80000,0.177134446,0.438665358,0.314595661,2.39,0,0,0,0,0,0.00
465,14000US08059012049,8059012049,0.074074074,113333,0.233225806,0.282580645,0.057803468,2.87,1,1,1,0,0,0.00
466,14000US08059012051,8059012051,0.064389698,107440,0.24343506,0.345280341,0.072373541,2.75,0,1,0,0,0,-100.00
467,14000US08059012053,8059012053,0.073770492,95486,0.195797517,0.281439032,0.065539112,2.74,0,1,0,0,0,-100.00
470,14000US08059012055,8059012055,0.046867168,85966,0.258859784,0.272419106,0.20126183,2.51,0,1,0,0,0,-100.00
471,14000US08059012057,8059012057,0.101392663,79118,0.26750154,0.20673373,0.174114022,2.26,0,0,0,0,0,0.00
473,14000US08059012026,8059012026,0.042874396,96938,0.274936525,0.278926369,0.261802575,2.35,0,0,0,0,0,0.00
474,14000US08059012036,8059012036,0.048514097,145774,0.259683395,0.261367464,0.054480287,2.82,0,0,0,0,0,0.00
484,14000US08059009847,8059009847,0.013405681,116379,0.260973663,0.303671189,0.110328638,2.45,0,0,0,0,0,0.00
485,14000US08059012034,8059012034,0.028206493,165139,0.265358636,0.337729173,0.006333568,2.64,0,0,0,0,0,0.00
486,14000US08059009837,8059009837,0.07336594,142361,0.265518266,0.229284229,0.091881687,2.82,0,1,0,0,0,-100.00
487,14000US08059009828,8059009828,0.107305138,82750,0.246063405,0.293512492,0.137836604,2.59,4,4,4,0,0,0.00
488,14000US08059012058,8059012058,0.083354511,114676,0.246041799,0.245725142,0.143580013,2.48,0,0,0,0,0,0.00
489,14000US08059012027,8059012027,0.082056194,110556,0.242245199,0.317946824,0.077759197,2.5,0,0,0,0,0,0.00
493,14000US08059012045,8059012045,0.078212291,97940,0.258246347,0.228392484,0.103290676,2.78,2,3,3,-33.33,0,0.00
494,14000US08059012030,8059012030,0.047144593,91429,0.281510107,0.244946492,0.22039072,2.51,0,0,0,0,0,0.00
495,14000US08059012035,8059012035,0.041795069,155231,0.279832347,0.28969428,0.003908431,2.9,0,1,0,0,0,-100.00
496,14000US08059009841,8059009841,0.036433776,97054,0.245804541,0.292694965,0.142541436,2.58,1,1,0,0,0,-100.00
497,14000US08059009815,8059009815,0.029263747,117813,0.299065421,0.23364486,0.1128097,2.83,1,2,2,-50,0,0.00
504,14000US08059012032,8059012032,0.057860678,100929,0.344377042,0.279981335,0.055555556,2.52,0,0,0,0,0,0.00
505,14000US08059009846,8059009846,0.038230241,123750,0.230769231,0.352427714,0.072736787,2.44,0,0,0,0,0,0.00
506,14000US08059009845,8059009845,0.043846899,157422,0.260499266,0.31277533,0.079590677,2.35,0,0,0,0,0,0.00
507,14000US08059009848,8059009848,0.067198178,124716,0.229302559,0.399397893,0.243876464,2.71,0,0,0,0,0,0.00
509,14000US08059009808,8059009808,0.07236506,100962,0.287772664,0.22273364,0.270510836,2.27,0,1,1,-100,0,0.00
511,14000US08059009829,8059009829,0.108260646,115536,0.229017567,0.238776838,0.053900709,2.76,1,1,1,0,0,0.00
513,14000US08059012033,8059012033,0.043862752,111898,0.219298246,0.238512949,0.075313808,2.37,0,0,0,0,0,0.00
516,14000US08059009840,8059009840,0.035863874,74975,0.226213592,0.324919094,0.325141777,2.35,0,1,0,0,0,-100.00
518,14000US08059012031,8059012031,0.040811339,123750,0.230932203,0.289043584,0.08534202,2.67,0,0,0,0,0,0.00
519,14000US08059012037,8059012037,0.027195467,97917,0.260484928,0.260157274,0.097333333,2.35,0,0,0,0,0,0.00
521,14000US08059009839,8059009839,0.071008403,108029,0.254263566,0.249095607,0.016412661,2.79,0,1,0,0,0,-100.00
522,14000US08059009842,8059009842,0.044046983,128156,0.206955923,0.365702479,0.102491103,2.67,0,0,0,0,0,0.00
526,14000US08059012052,8059012052,0.051219051,94792,0.219067897,0.202980837,0.120818772,2.64,0,1,0,0,0,-100.00
530,14000US08059009830,8059009830,0.103992572,61250,0.286186021,0.223995597,0.230843841,2.09,2,3,3,-33.33,0,0.00
534,14000US08059010210,8059010210,0.114315407,93095,0.196567863,0.295163807,0.182539683,2.53,1,1,1,0,0,0.00
535,14000US08059010211,8059010211,0.110715264,62823,0.202600958,0.406570842,0.495702006,2.5,6,6,6,0,0,0.00
537,14000US08059010213,8059010213,0.093271555,56397,0.247597931,0.287755605,0.270284793,2.64,5,6,6,-16.67,0,0.00
538,14000US08059010303,8059010303,0.067501361,79309,0.240008881,0.306616341,0.278532609,2.49,1,1,1,0,0,0.00
542,14000US08059009834,8059009834,0.08183776,64504,0.225205479,0.235068493,0.256472887,2.04,3,4,4,-25,0,0.00
544,14000US08059009836,8059009836,0.072132724,114342,0.163037081,0.322248381,0.043650794,2.75,0,0,0,0,0,0.00
552,14000US08059009838,8059009838,0.069051878,137992,0.203646697,0.2500592,0.03158431,2.85,0,1,0,0,0,-100.00
570,14000US08059011709,8059011709,0.100085543,58551,0.270812767,0.272458045,0.409722222,2.21,0,1,0,0,0,-100.00
572,14000US08059011711,8059011711,0.109620196,64759,0.253178552,0.24737424,0.35915493,2.38,0,1,1,-100,0,0.00
574,14000US08005004951,8005004951,0.255609327,51071,0.280510018,0.068761384,0.838450292,1.66,1,1,1,0,0,0.00
575,14000US08005086500,8005086500,0.212502382,90276,0.224641267,0.269668481,0.394114556,2.76,0,0,0,0,0,0.00
577,14000US08005007106,8005007106,0.218797118,122614,0.211428571,0.178742857,0.036413043,3.24,0,0,0,0,0,0.00
579,14000US08005007105,8005007105,0.377289932,84410,0.233718937,0.231362468,0.170670671,3.31,5,5,5,0,0,0.00
581,14000US08059011720,8059011720,0.163904236,95714,0.256554766,0.270031855,0.17624148,2.38,0,1,1,-100,0,0.00
583,14000US08059011724,8059011724,0.084375,152559,0.260666396,0.223283218,0.015521064,2.84,0,1,1,-100,0,0.00
587,14000US08039961204,8039961204,0.074828263,122218,0.27537831,0.279949559,0.032036613,3.11,0,0,0,0,0,0.00
588,14000US08035014010,8035014010,0.215669168,99853,0.244651163,0.159534884,0.42393321,2.66,0,1,0,0,0,-100.00
589,14000US08035014007,8035014007,0.384563758,79583,0.261341605,0.168670027,0.778610354,2.03,0,1,0,0,0,-100.00
592,14000US08035014008,8035014008,0.138064064,137611,0.277473413,0.168707702,0.041150765,3.12,0,1,1,-100,0,0.00
594,14000US08035014127,8035014127,0.115105301,157768,0.260432008,0.307560137,0.030555556,3.06,0,0,0,0,0,0.00
596,14000US08001008550,8001008550,0.086244019,90275,0.218239492,0.228231562,0.117339312,3.12,4,3,3,33.33,0,0.00
597,14000US08001008549,8001008549,0.15171442,95275,0.210113065,0.216080402,0.152659985,3.28,1,0,0,0,0,0.00
598,14000US08001008545,8001008545,0.125935162,113500,0.280430029,0.236698251,0.085115865,3.21,2,7,7,-71.43,0,0.00
599,14000US08001008544,8001008544,0.156823911,123382,0.221765914,0.194558522,0.104265403,3.29,1,0,0,0,0,0.00
600,14000US08001008547,8001008547,0.077563769,81488,0.239456257,0.250609969,0.26071741,3.18,2,2,2,0,0,0.00
