"","stops.stop_name","stops.stop_id","stops.stop_lat","stops.stop_lon","freq"
"237","W 58th Ave & Simms St",11443,39.801871,-105.129703,74
"238","75th St & Club House Rd",11703,40.065633,-105.178555,78
"239","Arapahoe Rd & S Clayton St",12250,39.594985,-104.954491,54
"240","Broadway & Violet Ave",12612,40.054887,-105.282012,184
"241","Colfax Ave & Nome St",12939,39.740256,-104.852054,239
"242","Downing St & 20th Ave",13371,39.74728,-104.973232,111
"243","Federal Blvd & W 41st Ave",13722,39.773423,-105.025336,175
"244","Federal Blvd & W 67th Ave",13749,39.818018,-105.025028,174
"245","Galapago St & W 6th Ave",14023,39.725992,-104.996308,49
"246","Iliff Ave & S Sable Blvd",14545,39.674956,-104.820895,98
"247","Iliff Ave & S Syracuse Way",14546,39.674767,-104.900727,104
"248","Iliff Ave & S Vaughn Way",14549,39.67488,-104.837386,104
"249","S Irving St & W Oxford Ave",14620,39.640764,-105.030021,48
"250","S Irving St & W Oxford Ave",14621,39.640767,-105.02992,50
"251","Jay Rd & Hwy 119",14648,40.051003,-105.230082,78
"252","W Mississippi Ave & S Depew St",15342,39.696706,-105.057877,66
"253","S Monaco Pkwy & Hampden Ave",15539,39.653687,-104.912777,76
"254","Pecos St & W 48th Ave",15823,39.784547,-105.00655,51
"255","Ralston Rd & Rensselaer Dr",16277,39.809483,-105.111553,20
"256","S Wadsworth Blvd & W Bayaud Ave",17024,39.714444,-105.081618,97
"257","Yale Ave & S Ursula St",17362,39.667477,-104.839507,106
"258","S Potomac St & Mississippi Ave",17601,39.695912,-104.833284,81
"259","Colorado Blvd & 112th Ave",18874,39.89964,-104.940137,38
"260","15th St & Little Raven St",19030,39.754696,-105.006788,155
"261","Broadway & Glenarm Pl",19128,39.746372,-104.987503,43
"262","19th St & Iris Ave",19312,40.036849,-105.272767,42
"263","88th Ave & Pearl St",19848,39.856377,-104.981241,88
"264","W 55th Ave & Vance St",20821,39.796336,-105.079697,154
"265","S Chambers Rd & Quincy Ave",21313,39.639,-104.810081,114
"266","Grant St & 98th Pl",21542,39.873848,-104.982827,111
"267","Parkway Dr & Forest Dr",21809,39.808082,-104.928326,90
"268","88th Ave & Dahlia St",22949,39.856212,-104.931177,41
"269","76th Ave & Krameria St",22974,39.83443,-104.916322,41
"270","S Federal Blvd & W Girard Ave",23069,39.655607,-105.025092,100
"271","Smoky Hill Rd & S Laredo St",23449,39.629491,-104.800925,54
"272","120th Ave & Irma Dr",24221,39.913868,-104.967548,45
"273","500 Block N 111th St",24441,40.002993,-105.09325,45
"274","E Mountain View Ave & Pace St",25159,40.18168,-105.074082,20
"275","Kimbark St & Longs Peak Ave",25653,40.170402,-105.101263,22
"276","40th Ave & Kittridge St",25696,39.772946,-104.801354,231
"277","Bridge St & S Telluride St",25878,39.986663,-104.779979,30
"278","S Bellaire St & Mexico Ave",26458,39.685441,-104.937426,55
"279","S Dahlia St & Jewell Ave",26461,39.681812,-104.931737,55
"280","1150 Block Prairie Center Pkwy",34413,39.969178,-104.77115,30
"281","Nine Mile Station Gate B",26193,39.657624,-104.846093,184
"282","Nine Mile Station Gate D",26195,39.657886,-104.845611,210
"283","8th & Coffman PnR Gate C",17798,40.171971,-105.10392,144
"284","Evans Station Gate B",26301,39.678557,-104.992382,98
"285","W 1st Ave & Lamar St",10449,39.718458,-105.067013,50
"286","30th Ave & Scranton St",10819,39.758868,-104.841486,115
"287","W 38th Ave & Kendall St",11006,39.769302,-105.06689,102
"288","W 44th Ave & Lamar St",11157,39.776559,-105.067167,58
"289","6th Ave & Krameria St",11566,39.725299,-104.915628,85
"290","6th Ave & Gaylord St",11602,39.725525,-104.962304,85
"291","6th Ave & Washington St",11603,39.725555,-104.978388,85
"292","W 72nd Ave & Federal Blvd",11663,39.827179,-105.024103,20
"293","W Alameda Ave & S Ammons St",11952,39.711194,-105.087758,99
"294","Alameda Ave & S Emerson St",11986,39.71115,-104.976647,46
"295","W Bowles Ave & Bell Flower Dr",12413,39.609549,-105.043592,40
"296","Broadway & 64th Ave",12458,39.813148,-104.98736,40
"297","Evans Ave & S Milwaukee St",13606,39.678352,-104.952551,104
"298","Hampden Ave & S Dahlia St",14138,39.652953,-104.931017,120
"299","Kalamath St & W 10th Ave",14718,39.731876,-105.000244,82
"300","Louisiana Ave & S Yampa Ct",15071,39.693118,-104.775055,111
"301","MLK Blvd & Magnolia St",15244,39.761774,-104.911194,257
"302","S Monaco Pkwy & Exposition Ave",15534,39.70454,-104.913025,76
"303","S Monaco Pkwy & Yale Ave",15569,39.667915,-104.912727,76
"304","South Golden Rd & Mt Vernon Rd",15730,39.734127,-105.179332,98
"305","Pecos St & W 70th Ave",15842,39.823979,-105.006056,71
"306","Pierce St & W 13th Ave",15970,39.735723,-105.072004,32
"307","Sheridan Blvd & W 35th Ave",16468,39.766255,-105.053144,96
"308","Sheridan Blvd & Turnpike Dr",16520,39.85423,-105.053132,96
"309","Simms St & W 8th Ave",16589,39.728642,-105.128627,42
"310","Stout St & Park Ave",16661,39.752555,-104.984287,181
"311","S University Blvd & Floyd Ave",16838,39.656882,-104.959553,40
"312","Wadsworth Blvd & W 1st Ave",16946,39.71885,-105.081335,101
"313","Walnut St & 20th St",17116,40.018851,-105.269592,42
"314","5300 Block Washington St",17177,39.791912,-104.978187,111
"315","Washington St & Explorador Calle",17217,39.842425,-104.977765,111
"316","S Lincoln St & Bayaud Ave",17779,39.715045,-104.986201,210
"317","S Broadway & W Ridge Rd",18836,39.590388,-104.988468,111
"318","Arapahoe Ave & Foothills Pkwy Nearside",19189,40.014444,-105.244343,92
"319","Longs Peak Ave & Lincoln St",19747,40.170314,-105.113812,22
"320","52nd Ave & Monroe St",20001,39.790925,-104.945206,84
"321","Leetsdale Dr & Exposition Ave",20095,39.704074,-104.914879,125
"322","S Uravan St & Tennessee Ave",20226,39.697533,-104.777892,108
"323","W 8th Ave & Wyandot St",21441,39.729389,-105.013733,32
"324","Arapahoe Rd & S Peoria St",21499,39.594897,-104.848549,103
"325","S Picadilly Rd & Dorado Ave",22036,39.611754,-104.744607,39
"326","Arapahoe Rd & S Galena St",22600,39.595171,-104.870726,106
"327","Baseline Rd & 55th St",22807,40.000039,-105.224578,79
"328","10300 Block Arapahoe Rd",23028,40.014669,-105.108157,77
"329","S Chambers Rd & Smoky Hill Rd",23456,39.631991,-104.810456,115
"330","W Exposition Ave & S Zuni St",23728,39.703883,-105.015385,66
"331","Chambers Rd & 52nd Ave",25188,39.787835,-104.809528,243
"332","Exempla Cir & Public Rd",25896,39.972017,-105.084318,16
"333","Chestnut St & 19th St",26051,39.756984,-104.999681,51
"334","Collyer St & 4th Ave",26646,40.166167,-105.09808,20
"335","W 120th Ave & Vrain St",33035,39.914282,-105.046861,45
"336","Fitzsimons Pkwy & Montview Blvd",33614,39.747239,-104.829488,3
"337","Prairie Center Pkwy Loop",34443,39.950426,-104.785025,60
"338","Broadway & 70th Ave",34646,39.824927,-104.987573,37
"339","Main St & 8th Ave",35022,40.172484,-105.102382,33
"340","Longmont PnR",18001,40.149175,-105.103039,4
"341","US 36 / McCaslin Station West Side",34706,39.957994,-105.168557,0
"342","US 36 & Table Mesa Station Gate D",22566,39.98687,-105.232758,80
"343","Cherry Creek",34136,39.718122,-104.957349,0
"344","Thornton West Side",33733,39.8553,-104.987905,0
"345","Decatur / Federal Station Gate D",33694,39.738056,-105.022653,216
"346","28th St & Iris Ave",10725,40.035089,-105.25868,156
"347","28th St & Kalmia Ave",10727,40.039811,-105.258309,78
